ID,Tournament,Date,Home Team,Away Team,Home Goals,Away Goals,Home Stadium or Not
1,Friendly,1872-11-30,Scotland,England,0.0,0.0,1
2,Friendly,1873-03-08,England,Scotland,4.0,2.0,1
3,Friendly,1874-03-07,Scotland,England,2.0,1.0,1
4,Friendly,1875-03-06,England,Scotland,2.0,2.0,1
5,Friendly,1876-03-04,Scotland,England,3.0,0.0,1
6,Friendly,1876-03-25,Scotland,Wales,4.0,0.0,1
7,Friendly,1877-03-03,England,Scotland,1.0,3.0,1
8,Friendly,1877-03-05,Wales,Scotland,0.0,2.0,1
9,Friendly,1878-03-02,Scotland,England,7.0,2.0,1
10,Friendly,1878-03-23,Scotland,Wales,9.0,0.0,1
11,Friendly,1879-01-18,England,Wales,2.0,1.0,1
12,Friendly,1879-04-05,England,Scotland,5.0,4.0,1
13,Friendly,1879-04-07,Wales,Scotland,0.0,3.0,1
14,Friendly,1880-03-13,Scotland,England,5.0,4.0,1
15,Friendly,1880-03-15,Wales,England,2.0,3.0,1
16,Friendly,1880-03-27,Scotland,Wales,5.0,1.0,1
17,Friendly,1881-02-26,England,Wales,0.0,1.0,1
18,Friendly,1881-03-12,England,Scotland,1.0,6.0,1
19,Friendly,1881-03-14,Wales,Scotland,1.0,5.0,1
20,Friendly,1882-02-18,Northern Ireland,England,0.0,13.0,1
21,Friendly,1882-02-25,Wales,Northern Ireland,7.0,1.0,1
22,Friendly,1882-03-11,Scotland,England,5.0,1.0,1
23,Friendly,1882-03-13,Wales,England,5.0,3.0,1
24,Friendly,1882-03-25,Scotland,Wales,5.0,0.0,1
25,Friendly,1883-02-03,England,Wales,5.0,0.0,1
26,Friendly,1883-02-24,England,Northern Ireland,7.0,0.0,1
27,Friendly,1883-03-10,England,Scotland,2.0,3.0,1
28,Friendly,1883-03-12,Wales,Scotland,0.0,3.0,1
29,Friendly,1883-03-17,Northern Ireland,Wales,1.0,1.0,1
30,British Home Championship,1884-01-26,Northern Ireland,Scotland,0.0,5.0,1
31,British Home Championship,1884-02-09,Wales,Northern Ireland,6.0,0.0,1
32,British Home Championship,1884-02-23,Northern Ireland,England,1.0,8.0,1
33,British Home Championship,1884-03-15,Scotland,England,1.0,0.0,1
34,British Home Championship,1884-03-17,Wales,England,0.0,4.0,1
35,British Home Championship,1884-03-29,Scotland,Wales,4.0,1.0,1
36,British Home Championship,1885-02-28,England,Northern Ireland,4.0,0.0,1
37,British Home Championship,1885-03-14,England,Wales,1.0,1.0,1
38,British Home Championship,1885-03-14,Scotland,Northern Ireland,8.0,2.0,1
39,British Home Championship,1885-03-21,England,Scotland,1.0,1.0,1
40,British Home Championship,1885-03-23,Wales,Scotland,1.0,8.0,1
41,British Home Championship,1885-04-11,Northern Ireland,Wales,2.0,8.0,1
42,Friendly,1885-11-28,United States,Canada,0.0,1.0,1
43,British Home Championship,1886-02-27,Wales,Northern Ireland,5.0,0.0,1
44,British Home Championship,1886-03-13,Northern Ireland,England,1.0,6.0,1
45,British Home Championship,1886-03-20,Northern Ireland,Scotland,2.0,7.0,1
46,British Home Championship,1886-03-27,Scotland,England,1.0,1.0,1
47,British Home Championship,1886-03-29,Wales,England,1.0,3.0,1
48,British Home Championship,1886-04-10,Scotland,Wales,4.0,1.0,1
49,Friendly,1886-11-25,United States,Canada,3.0,2.0,1
50,British Home Championship,1887-02-05,England,Northern Ireland,7.0,0.0,1
51,British Home Championship,1887-02-19,Scotland,Northern Ireland,4.0,1.0,1
52,British Home Championship,1887-02-26,England,Wales,4.0,0.0,1
53,British Home Championship,1887-03-12,Northern Ireland,Wales,4.0,1.0,1
54,British Home Championship,1887-03-19,England,Scotland,2.0,3.0,1
55,British Home Championship,1887-03-21,Wales,Scotland,0.0,2.0,1
56,British Home Championship,1888-02-04,England,Wales,5.0,1.0,1
57,British Home Championship,1888-03-03,Wales,Northern Ireland,11.0,0.0,1
58,British Home Championship,1888-03-10,Scotland,Wales,5.0,1.0,1
59,British Home Championship,1888-03-17,Scotland,England,0.0,5.0,1
60,British Home Championship,1888-03-24,Northern Ireland,Scotland,2.0,10.0,1
61,British Home Championship,1888-04-07,Northern Ireland,England,1.0,5.0,1
62,Friendly,1888-09-19,Scotland,Canada,4.0,0.0,1
63,British Home Championship,1889-02-23,England,Wales,4.0,1.0,1
64,British Home Championship,1889-03-02,England,Northern Ireland,6.0,1.0,1
65,British Home Championship,1889-03-09,Scotland,Northern Ireland,7.0,0.0,1
66,British Home Championship,1889-04-13,England,Scotland,2.0,3.0,1
67,British Home Championship,1889-04-15,Wales,Scotland,0.0,0.0,1
68,British Home Championship,1889-04-27,Northern Ireland,Wales,1.0,3.0,1
69,British Home Championship,1890-02-08,Wales,Northern Ireland,5.0,2.0,0
70,British Home Championship,1890-03-15,Northern Ireland,England,1.0,9.0,1
71,British Home Championship,1890-03-15,Wales,England,1.0,3.0,1
72,British Home Championship,1890-03-22,Scotland,Wales,5.0,0.0,1
73,British Home Championship,1890-03-29,Northern Ireland,Scotland,1.0,4.0,1
74,British Home Championship,1890-04-05,Scotland,England,1.0,1.0,1
75,British Home Championship,1891-02-07,Northern Ireland,Wales,7.0,2.0,1
76,British Home Championship,1891-03-07,England,Wales,4.0,1.0,1
77,British Home Championship,1891-03-07,England,Northern Ireland,6.0,1.0,1
78,British Home Championship,1891-03-21,Wales,Scotland,3.0,4.0,1
79,British Home Championship,1891-03-28,Scotland,Northern Ireland,2.0,1.0,1
80,British Home Championship,1891-04-04,England,Scotland,2.0,1.0,1
81,British Home Championship,1892-02-27,Wales,Northern Ireland,1.0,1.0,1
82,British Home Championship,1892-03-05,Northern Ireland,England,0.0,2.0,1
83,British Home Championship,1892-03-05,Wales,England,0.0,2.0,1
84,British Home Championship,1892-03-19,Northern Ireland,Scotland,2.0,3.0,1
85,British Home Championship,1892-03-26,Scotland,Wales,6.0,1.0,1
86,British Home Championship,1892-04-02,Scotland,England,1.0,4.0,1
87,British Home Championship,1893-02-25,England,Northern Ireland,6.0,1.0,1
88,British Home Championship,1893-03-13,England,Wales,6.0,0.0,1
89,British Home Championship,1893-03-18,Wales,Scotland,0.0,8.0,1
90,British Home Championship,1893-03-25,Scotland,Northern Ireland,6.0,1.0,1
91,British Home Championship,1893-04-01,England,Scotland,5.0,2.0,1
92,British Home Championship,1894-02-24,Wales,Northern Ireland,4.0,1.0,1
93,British Home Championship,1894-03-03,Northern Ireland,England,2.0,2.0,1
94,British Home Championship,1894-03-12,Wales,England,1.0,5.0,1
95,British Home Championship,1894-03-24,Scotland,Wales,5.0,2.0,1
96,British Home Championship,1894-03-31,Northern Ireland,Scotland,1.0,2.0,1
97,British Home Championship,1894-04-07,Scotland,England,2.0,2.0,1
98,British Home Championship,1895-03-09,England,Northern Ireland,9.0,0.0,1
99,British Home Championship,1895-03-16,Northern Ireland,Wales,2.0,2.0,1
100,British Home Championship,1895-03-18,England,Wales,1.0,1.0,1
101,British Home Championship,1895-03-23,Wales,Scotland,2.0,2.0,1
102,British Home Championship,1895-03-30,Scotland,Northern Ireland,3.0,1.0,1
103,British Home Championship,1895-04-06,England,Scotland,3.0,0.0,1
104,British Home Championship,1896-02-29,Wales,Northern Ireland,6.0,1.0,1
105,British Home Championship,1896-03-07,Northern Ireland,England,0.0,2.0,1
106,British Home Championship,1896-03-16,Wales,England,1.0,9.0,1
107,British Home Championship,1896-03-21,Scotland,Wales,4.0,0.0,1
108,British Home Championship,1896-03-28,Northern Ireland,Scotland,3.0,3.0,1
109,British Home Championship,1896-04-04,Scotland,England,2.0,1.0,1
110,British Home Championship,1897-02-20,England,Northern Ireland,6.0,0.0,1
111,British Home Championship,1897-03-06,Northern Ireland,Wales,4.0,3.0,1
112,British Home Championship,1897-03-20,Wales,Scotland,2.0,2.0,1
113,British Home Championship,1897-03-27,Scotland,Northern Ireland,5.0,1.0,1
114,British Home Championship,1897-03-29,England,Wales,4.0,0.0,1
115,British Home Championship,1897-04-03,England,Scotland,1.0,2.0,1
116,British Home Championship,1898-02-19,Wales,Northern Ireland,0.0,1.0,1
117,British Home Championship,1898-03-05,Northern Ireland,England,2.0,3.0,1
118,British Home Championship,1898-03-19,Scotland,Wales,5.0,2.0,1
119,British Home Championship,1898-03-26,Northern Ireland,Scotland,0.0,3.0,1
120,British Home Championship,1898-03-28,Wales,England,0.0,3.0,1
121,British Home Championship,1898-04-02,Scotland,England,1.0,3.0,1
122,British Home Championship,1899-02-18,England,Northern Ireland,13.0,2.0,1
123,British Home Championship,1899-03-04,Northern Ireland,Wales,1.0,0.0,1
124,British Home Championship,1899-03-18,Wales,Scotland,0.0,6.0,1
